"Group","Url","Expected","Actual","Result"
"sitemap","https://aajconsult.com/tools/positioning-statement-generator/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/seo-geo-readiness-scorer/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/seo-geo-readiness-scorer/standards/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/webgen-ai/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/social-studio/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/survey-studio/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/pricing-arpu-modeler/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/win-loss-analyzer/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/marketing-maturity-scorecard/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/churn-nrr-calculator/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/marketing-kpi-report/","200","200","PASS"
"sitemap","https://aajconsult.com/","200","200","PASS"
"sitemap","https://aajconsult.com/services/","200","200","PASS"
"sitemap","https://aajconsult.com/about/","200","200","PASS"
"sitemap","https://aajconsult.com/methodology","200","200","PASS"
"sitemap","https://aajconsult.com/founder/","200","200","PASS"
"sitemap","https://aajconsult.com/pricing/","200","200","PASS"
"sitemap","https://aajconsult.com/case-studies/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/category/strategy-positioning/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/category/demand-channels/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/category/conversion-pricing/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/category/measurement-budget/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/category/discoverability-content/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/category/ops-teams-ai/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/","200","200","PASS"
"sitemap","https://aajconsult.com/reports/marketing-technology-stack-landscape-2025-2026/","200","200","PASS"
"sitemap","https://aajconsult.com/reports/","200","200","PASS"
"sitemap","https://aajconsult.com/reports/marketing-budget-benchmarks-2026/","200","200","PASS"
"sitemap","https://aajconsult.com/reports/b2b-paid-media-benchmarks/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/marketing-budget-calculator/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/unit-economics-calculator/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/website-grader/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/persona-builder/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/ab-test-significance-calculator/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/paid-media-budget-allocator/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/pipeline-forecast-calculator/","200","200","PASS"
"sitemap","https://aajconsult.com/tools/icp-fit-scorer/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/paid-media-budget-allocation-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/contact/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/b2b-go-to-market-strategy-from-scratch/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/product-launch-checklist-us-startups/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/fractional-cmo-vs-inhouse-marketing-team/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/landing-page-converts-at-1-percent/","200","200","PASS"
